독립변수,k,테스트정확도,N=3,옐로페이
"[4, 9, 10, 11, 13, 14]",6,62.32,,
"[4, 9, 10, 11, 13, 14, 15]",5,62.32,,
"[4, 9, 10, 11, 13, 14, 15, 16]",5,62.32,,
"[4, 9, 10, 11, 13, 14, 15, 16, 17]",3,62.32,,
"[4, 10, 11, 13, 14, 15, 16]",5,62.32,,
"[4, 11, 13, 14]",5,62.32,,
"[4, 11, 13, 14, 15]",3,62.32,,
"[4, 11, 13, 14, 15]",4,62.32,,
"[4, 13, 14]",7,62.32,,
"[4, 13, 14, 15]",6,62.32,,
"[4, 13, 14, 15, 16]",5,62.32,,
"[4, 14, 15]",6,62.32,,
"[4, 14, 15]",7,62.32,,
"[4, 14, 15, 16]",6,62.32,,
"[4, 14, 15, 16]",7,62.32,,
"[4, 15]",5,62.32,,
"[4, 15, 16]",4,62.32,,
"[4, 15, 16]",7,62.32,,
"[4, 16, 17]",4,62.32,,
"[4, 16, 17]",7,62.32,,
"[5, 7, 8, 9, 10, 11, 13, 14, 15]",5,62.32,,
"[5, 7, 8, 9, 10, 11, 13, 14, 15, 16]",5,62.32,,
"[5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",3,62.32,,
"[5, 8, 9, 10, 11, 13, 14, 15, 16]",5,62.32,,
"[5, 9, 10, 11, 13, 14, 15, 16]",5,62.32,,
"[5, 9, 10, 11, 13, 14, 15, 16, 17]",3,62.32,,
"[5, 10, 11, 13, 14]",6,62.32,,
"[5, 10, 11, 13, 14, 15, 16]",5,62.32,,
"[5, 11, 13, 14, 15]",3,62.32,,
"[5, 11, 13, 14, 15]",4,62.32,,
"[5, 11, 13, 14, 15]",5,62.32,,
"[5, 11, 13, 14, 15]",6,62.32,,
"[5, 13, 14]",3,62.32,,
"[5, 13, 14]",4,62.32,,
"[5, 13, 14]",5,62.32,,
"[5, 13, 14, 15]",3,62.32,,
"[5, 13, 14, 15]",4,62.32,,
"[5, 13, 14, 15]",5,62.32,,
"[5, 13, 14, 15]",6,62.32,,
"[5, 13, 14, 15, 16]",5,62.32,,
"[5, 14]",5,62.32,,
"[5, 14, 15]",3,62.32,,
"[5, 14, 15]",4,62.32,,
"[5, 14, 15]",6,62.32,,
"[5, 14, 15]",7,62.32,,
"[5, 14, 15, 16]",6,62.32,,
"[5, 14, 15, 16]",7,62.32,,
"[5, 15, 16]",4,62.32,,
"[5, 15, 16]",7,62.32,,
"[5, 16, 17]",4,62.32,,
"[6, 8, 9, 10, 11, 13, 14]",5,62.32,,
"[6, 8, 9, 10, 11, 13, 14]",7,62.32,,
"[6, 8, 9, 10, 11, 13, 14, 15]",4,62.32,,
"[6, 8, 9, 10, 11, 13, 14, 15, 16, 17]",4,62.32,,
"[6, 9, 10, 11, 13, 14]",6,62.32,,
"[6, 9, 10, 11, 13, 14]",7,62.32,,
"[6, 10, 11, 13, 14]",7,62.32,,
"[6, 10, 11, 13, 14, 15, 16, 17]",3,62.32,,
"[6, 11, 13, 14]",3,62.32,,
"[6, 11, 13, 14]",5,62.32,,
"[6, 11, 13, 14, 15]",5,62.32,,
"[6, 13, 14]",3,62.32,,
"[6, 13, 14]",4,62.32,,
"[6, 13, 14]",5,62.32,,
"[6, 13, 14]",7,62.32,,
"[6, 13, 14, 15, 16]",6,62.32,,
"[6, 14, 15]",6,62.32,,
"[6, 14, 15]",7,62.32,,
"[6, 14, 15, 16]",6,62.32,,
"[6, 15]",5,62.32,,
"[6, 15, 16]",4,62.32,,
"[6, 16, 17]",4,62.32,,
"[7, 8, 9, 10, 11, 13, 14, 15, 16]",4,62.32,,
"[7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",3,62.32,,
"[7, 9, 10, 11, 13, 14, 15, 16]",4,62.32,,
"[7, 10, 11, 13, 14, 15, 16]",4,62.32,,
"[7, 11, 13, 14, 15, 16, 17]",6,62.32,,
"[7, 11, 13, 14, 15, 16, 17]",7,62.32,,
"[7, 14, 15, 16]",3,62.32,,
"[7, 15, 16]",4,62.32,,
"[7, 15, 16, 17]",7,62.32,,
"[7, 16]",3,62.32,,
"[7, 16]",7,62.32,,
"[8, 9, 10, 11, 13, 14, 15, 16, 17]",4,62.32,,
"[8, 10, 11, 13, 14, 15]",4,62.32,,
"[8, 10, 11, 13, 14, 15, 16, 17]",4,62.32,,
"[8, 13, 14, 15]",3,62.32,,
"[8, 13, 14, 15, 16, 17]",6,62.32,,
"[8, 14, 15]",3,62.32,,
"[8, 14, 15, 16, 17]",7,62.32,,
"[8, 17]",7,62.32,,
"[9, 10, 11, 13, 14, 15]",4,62.32,,
"[9, 10, 11, 13, 14, 15, 16, 17]",3,62.32,,
"[9, 11, 13, 14, 15, 16, 17]",3,62.32,,
"[9, 11, 13, 14, 15, 16, 17]",4,62.32,,
"[9, 11, 13, 14, 15, 16, 17]",6,62.32,,
"[9, 13, 14, 15]",3,62.32,,
"[9, 13, 14, 15, 16, 17]",3,62.32,,
"[9, 13, 14, 15, 16, 17]",4,62.32,,
"[9, 13, 14, 15, 16, 17]",6,62.32,,
"[9, 14]",3,62.32,,
"[9, 14]",4,62.32,,
"[9, 14, 15]",3,62.32,,
"[9, 15, 16]",4,62.32,,
"[9, 15, 16, 17]",7,62.32,,
"[9, 17]",7,62.32,,
"[10, 11, 13, 14, 15]",4,62.32,,
"[10, 11, 13, 14, 15, 16, 17]",3,62.32,,
"[10, 13, 14]",7,62.32,,
"[10, 13, 14, 15]",3,62.32,,
"[10, 13, 14, 15, 16, 17]",3,62.32,,
"[10, 14]",4,62.32,,
"[10, 14]",5,62.32,,
"[10, 14]",6,62.32,,
"[10, 14, 15]",3,62.32,,
"[10, 14, 15, 16]",5,62.32,,
"[10, 15, 16]",4,62.32,,
"[10, 15, 16]",5,62.32,,
"[11, 13, 14, 15, 16, 17]",6,62.32,,
"[11, 15, 16]",5,62.32,,
"[11, 15, 16, 17]",3,62.32,,
"[11, 15, 16, 17]",6,62.32,,
"[13, 14, 15]",3,62.32,,
"[13, 15, 16, 17]",3,62.32,,
"[13, 15, 16, 17]",6,62.32,,
"[14, 15, 16]",5,62.32,,
"[15, 16, 17]",7,62.32,,
"[15, 17]",7,62.32,,
[16],7,62.32,,
"[16, 17]",5,62.32,,
[3],3,60.87,,
"[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",3,60.87,,
"[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",7,60.87,,
"[3, 5]",3,60.87,,
"[3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",7,60.87,,
"[3, 7, 8, 9, 10, 11, 13, 14, 15, 16]",4,60.87,,
"[3, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",3,60.87,,
"[3, 8, 9, 10, 11, 13, 14]",6,60.87,,
"[3, 8, 9, 10, 11, 13, 14, 15]",4,60.87,,
"[3, 10, 11, 13, 14, 15, 16, 17]",3,60.87,,
"[3, 11, 13, 14]",6,60.87,,
"[3, 11, 13, 14, 15]",3,60.87,,
"[3, 11, 13, 14, 15]",4,60.87,,
"[3, 11, 13, 14, 15, 16, 17]",3,60.87,,
"[3, 13, 14]",3,60.87,,
"[3, 13, 14]",6,60.87,,
"[3, 13, 14, 15]",3,60.87,,
"[3, 13, 14, 15]",4,60.87,,
"[3, 13, 14, 15, 16, 17]",3,60.87,,
"[3, 14]",6,60.87,,
"[3, 14]",7,60.87,,
"[3, 15, 16]",5,60.87,,
"[3, 15, 16, 17]",3,60.87,,
"[3, 16, 17]",7,60.87,,
[4],3,60.87,,
"[4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",7,60.87,,
"[4, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",3,60.87,,
"[4, 9, 10, 11, 13, 14]",7,60.87,,
"[4, 9, 10, 11, 13, 14, 15]",4,60.87,,
"[4, 10, 11, 13, 14]",6,60.87,,
"[4, 10, 11, 13, 14]",7,60.87,,
"[4, 10, 11, 13, 14, 15]",4,60.87,,
"[4, 11, 13, 14]",6,60.87,,
"[4, 11, 13, 14, 15, 16, 17]",3,60.87,,
"[4, 13, 14]",3,60.87,,
"[4, 13, 14, 15, 16, 17]",3,60.87,,
"[4, 14]",7,60.87,,
"[4, 15, 16]",5,60.87,,
"[4, 15, 16, 17]",3,60.87,,
"[5, 7, 8, 9, 10, 11, 13, 14, 15, 16]",4,60.87,,
"[5, 8, 9, 10, 11, 13, 14]",6,60.87,,
"[5, 8, 9, 10, 11, 13, 14, 15]",4,60.87,,
"[5, 11, 13, 14]",6,60.87,,
"[5, 11, 13, 14, 15, 16, 17]",3,60.87,,
"[5, 13, 14]",6,60.87,,
"[5, 14]",3,60.87,,
"[5, 14]",4,60.87,,
"[5, 14]",6,60.87,,
"[5, 14]",7,60.87,,
"[5, 14, 15, 16]",5,60.87,,
"[5, 15]",6,60.87,,
"[5, 15, 16]",5,60.87,,
"[5, 15, 16, 17]",3,60.87,,
"[6, 10, 11, 13, 14]",6,60.87,,
"[6, 11, 13, 14]",6,60.87,,
"[6, 11, 13, 14, 15, 16]",5,60.87,,
"[6, 13, 14]",6,60.87,,
"[6, 13, 14, 15]",6,60.87,,
"[6, 14]",3,60.87,,
"[6, 14]",4,60.87,,
"[6, 14, 15]",3,60.87,,
"[6, 15, 16]",5,60.87,,
"[7, 14, 15, 16]",5,60.87,,
"[7, 15, 16]",5,60.87,,
"[7, 16, 17]",5,60.87,,
"[8, 9, 10, 11, 13, 14, 15, 16, 17]",7,60.87,,
"[8, 14, 15, 16, 17]",6,60.87,,
"[8, 15, 16, 17]",3,60.87,,
"[8, 17]",4,60.87,,
[9],3,60.87,,
[9],4,60.87,,
"[9, 14]",5,60.87,,
"[9, 14, 15, 16, 17]",7,60.87,,
"[9, 15, 16, 17]",3,60.87,,
"[10, 13, 14, 15, 16]",5,60.87,,
"[10, 14]",3,60.87,,
"[10, 14, 15]",4,60.87,,
"[10, 15, 16, 17]",3,60.87,,
"[11, 13, 14, 15, 16, 17]",3,60.87,,
"[11, 13, 14, 15, 16, 17]",4,60.87,,
"[11, 14, 15]",3,60.87,,
"[11, 14, 15, 16, 17]",3,60.87,,
"[11, 14, 15, 16, 17]",7,60.87,,
"[11, 15, 16]",4,60.87,,
"[13, 14, 15, 16, 17]",3,60.87,,
"[13, 14, 15, 16, 17]",4,60.87,,
"[13, 14, 15, 16, 17]",7,60.87,,
"[14, 15, 16, 17]",3,60.87,,
"[14, 15, 16, 17]",4,60.87,,
"[14, 15, 16, 17]",7,60.87,,
"[14, 17]",6,60.87,,
"[15, 16]",5,60.87,,
[17],6,60.87,,
[17],7,60.87,,
"[3, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",7,59.42,,
"[3, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",6,59.42,,
"[3, 11, 13, 14, 15, 16, 17]",4,59.42,,
"[3, 11, 13, 14, 15, 16, 17]",7,59.42,,
"[3, 13, 14, 15, 16, 17]",4,59.42,,
"[3, 13, 14, 15, 16, 17]",7,59.42,,
"[3, 14]",3,59.42,,
"[3, 14]",4,59.42,,
"[3, 14, 15]",3,59.42,,
"[3, 14, 15]",4,59.42,,
"[3, 14, 15, 16]",5,59.42,,
"[3, 14, 15, 16, 17]",3,59.42,,
"[3, 14, 15, 16, 17]",7,59.42,,
"[4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",7,59.42,,
"[4, 8, 9, 10, 11, 13, 14]",6,59.42,,
"[4, 11, 13, 14, 15, 16, 17]",7,59.42,,
"[4, 13, 14]",6,59.42,,
"[4, 13, 14, 15, 16, 17]",7,59.42,,
"[4, 14]",4,59.42,,
"[4, 14]",5,59.42,,
"[4, 14]",6,59.42,,
"[4, 14, 15]",3,59.42,,
"[4, 14, 15]",4,59.42,,
"[4, 14, 15, 16]",5,59.42,,
"[4, 14, 15, 16, 17]",3,59.42,,
"[4, 14, 15, 16, 17]",7,59.42,,
"[5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",7,59.42,,
"[5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",6,59.42,,
"[5, 11, 13, 14, 15, 16, 17]",4,59.42,,
"[5, 11, 13, 14, 15, 16, 17]",7,59.42,,
"[5, 13, 14, 15, 16, 17]",3,59.42,,
"[5, 13, 14, 15, 16, 17]",4,59.42,,
"[5, 13, 14, 15, 16, 17]",7,59.42,,
"[5, 14, 15, 16, 17]",3,59.42,,
"[5, 14, 15, 16, 17]",7,59.42,,
"[6, 8, 9, 10, 11, 13, 14]",6,59.42,,
"[6, 13, 14, 15, 16]",5,59.42,,
"[6, 14]",6,59.42,,
"[6, 14, 15]",4,59.42,,
"[6, 14, 15, 16]",5,59.42,,
"[7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",6,59.42,,
"[7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",7,59.42,,
"[7, 9, 10, 11, 13, 14, 15, 16, 17]",3,59.42,,
"[7, 10, 11, 13, 14, 15, 16, 17]",3,59.42,,
"[7, 13, 14, 15, 16, 17]",6,59.42,,
"[7, 13, 14, 15, 16, 17]",7,59.42,,
"[7, 14]",6,59.42,,
"[7, 14, 15, 16, 17]",6,59.42,,
"[7, 14, 15, 16, 17]",7,59.42,,
"[7, 15, 16, 17]",4,59.42,,
"[7, 15, 16, 17]",6,59.42,,
"[7, 16, 17]",4,59.42,,
"[7, 17]",4,59.42,,
"[8, 14, 15, 16, 17]",3,59.42,,
"[8, 14, 15, 16, 17]",4,59.42,,
"[8, 15, 16, 17]",4,59.42,,
"[9, 14, 15, 16, 17]",3,59.42,,
"[9, 14, 15, 16, 17]",6,59.42,,
"[9, 15]",3,59.42,,
"[9, 15]",4,59.42,,
"[9, 17]",3,59.42,,
"[10, 11, 13, 14, 15, 16, 17]",4,59.42,,
"[10, 13, 14, 15, 16, 17]",4,59.42,,
"[10, 14, 15, 16, 17]",3,59.42,,
"[10, 14, 15, 16, 17]",4,59.42,,
"[11, 14, 15, 16, 17]",4,59.42,,
"[11, 14, 15, 16, 17]",6,59.42,,
"[13, 14, 15, 16, 17]",6,59.42,,
"[13, 15, 16, 17]",4,59.42,,
"[14, 15, 16, 17]",6,59.42,,
"[14, 16, 17]",4,59.42,,
"[14, 16, 17]",5,59.42,,
"[14, 16, 17]",6,59.42,,
"[15, 16]",4,59.42,,
"[15, 16, 17]",4,59.42,,
"[15, 17]",6,59.42,,
[17],5,59.42,,
"[3, 11, 13, 14, 15, 16, 17]",5,57.97,,
"[3, 15, 16, 17]",4,57.97,,
"[5, 11, 13, 14, 15, 16, 17]",5,57.97,,
"[7, 11, 13, 14, 15, 16, 17]",3,57.97,,
"[7, 13, 14, 15, 16, 17]",3,57.97,,
"[7, 14]",7,57.97,,
"[7, 14, 15, 16, 17]",3,57.97,,
"[8, 11, 13, 14, 15, 16, 17]",5,57.97,,
"[14, 15]",5,57.97,,
"[14, 15]",6,57.97,,
"[16, 17]",4,57.97,,
"[3, 13, 14, 15, 16, 17]",5,56.52,,
"[4, 15, 16, 17]",4,56.52,,
"[5, 15, 16, 17]",4,56.52,,
"[7, 14, 15]",6,56.52,,
"[9, 11, 13, 14, 15, 16, 17]",5,56.52,,
"[9, 13, 14, 15, 16, 17]",5,56.52,,
"[11, 13, 14, 15, 16, 17]",5,56.52,,
"[13, 14, 15, 16, 17]",5,56.52,,
"[14, 15]",7,55.07,,
"[14, 17]",3,55.07,,
[17],4,55.07,,
"[7, 14]",5,53.62,,
[8],3,53.62,,
[8],4,53.62,,
[17],3,52.17,,
[7],3,43.48,,
[7],4,43.48,,
[7],5,37.68,,
